[    1630228] : [ 2098516465] Roblox High School 2 - 480b6d50-befa-451b-8f8f-818be29ba327
2022-10-24T05:51:15Z: CHAT STREAM SUCCESSFULLY STARTED
2022-10-24T05:51:15Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3476812067] Gatit0_nee
2022-10-24T05:51:15Z: PLAYER ADDED   [ 1824863283] mersipelona
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3460624231] patasdequesadilla2
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3174096779] DukElias08
2022-10-24T05:51:15Z: PLAYER ADDED   [ 2744602117] fernanda_uww8
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3174093315] LadyMixtly
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3997836604] Mixkatiu
2022-10-24T05:51:15Z: PLAYER ADDED   [ 1871172867] xMonroy6057
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3727952687] CHHFBHY
2022-10-24T05:51:15Z: PLAYER ADDED   [ 2933375057] ValeriaxD0405
2022-10-24T05:51:15Z: PLAYER ADDED   [ 1379073819] Esteban_451
2022-10-24T05:51:15Z: PLAYER ADDED   [ 2402738441] Honeycomb_Drop
2022-10-24T05:51:15Z: PLAYER ADDED   [ 1791749623] 1225MOIS
2022-10-24T05:51:15Z: PLAYER ADDED   [ 1471812345] Ashstraw1
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3600377484] SHARAP238
2022-10-24T05:51:15Z: PLAYER ADDED   [  368359274] PrincessPeachBeauty3
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3904896526] Osiris_kun11
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3315389228] Jolanoks
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3363959216] lulamiavo
2022-10-24T05:51:15Z: PLAYER ADDED   [ 3209189605] Ivyssmo
2022-10-24T05:51:28Z: CHRCTER ADDED  [ 3363959216] lulamiavo           
2022-10-24T05:51:42Z: CHRCTER ADDED  [ 3476812067] Gatit0_nee          
2022-10-24T05:53:20Z: PLAYER REMOVED [ 3460624231] patasdequesadilla2
2022-10-24T05:53:35Z: PLAYER REMOVED [ 3209189605] Ivyssmo
2022-10-24T05:53:53Z: PLAYER ADDED   [ 3209189605] Ivyssmo
2022-10-24T05:54:19Z: PLAYER ADDED   [ 1455852562] sritamy911
2022-10-24T05:54:56Z: PLAYER REMOVED [    1630228] VisualPlugin
