[    1630228] : [ 2546155523] 🌆 RoVille [HEIST!] - 9ba9f50f-cbc3-4b90-ae66-ed1015ab9ec9
2022-10-08T03:06:56Z: CHAT STREAM SUCCESSFULLY STARTED
2022-10-08T03:06:56Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3687338892] mmmmarcelita
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3269379104] Drycah2006
2022-10-08T03:06:56Z: PLAYER ADDED   [ 2563271902] desconhecid0_90
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3911199019] tiz_linda13
2022-10-08T03:06:56Z: PLAYER ADDED   [ 2384789141] kimParkxxt
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3941369073] mamamamamama1733
2022-10-08T03:06:56Z: PLAYER ADDED   [ 1449334020] TINHOSZPLAYE
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3682362334] BRAJUJUB
2022-10-08T03:06:56Z: PLAYER ADDED   [  313849503] kamialves
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3925991390] Gu3rrr4
2022-10-08T03:06:56Z: PLAYER ADDED   [ 1088177820] Eudes313
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3442833451] grazi_ela09
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3942523189] ulxzin
2022-10-08T03:06:56Z: PLAYER ADDED   [ 1254431961] nicoly1068
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3954283708] sslk_isaa
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3954225921] bubblespop2002
2022-10-08T03:06:56Z: PLAYER ADDED   [ 1622500507] grazinhaunigirl
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3944808837] nicollylacradora27
2022-10-08T03:06:56Z: PLAYER ADDED   [ 3590247710] dilamnlosti
2022-10-08T03:06:56Z: PLAYER ADDED   [ 2843613532] adianny_gamergril
2022-10-08T03:07:05Z: PLAYER REMOVED [ 1622500507] grazinhaunigirl
2022-10-08T03:07:22Z: PLAYER ADDED   [ 1622500507] grazinhaunigirl
2022-10-08T03:07:41Z: PLAYER REMOVED [ 3941369073] mamamamamama1733
2022-10-08T03:08:25Z: PLAYER REMOVED [ 3911199019] tiz_linda13
2022-10-08T03:08:42Z: PLAYER ADDED   [ 3930233549] mimi_blox53
2022-10-08T03:08:57Z: PLAYER REMOVED [  313849503] kamialves
2022-10-08T03:09:05Z: PLAYER ADDED   [  313849503] kamialves
2022-10-08T03:09:28Z: PLAYER CHATTED [ 3930233549] mimi_blox53         
  alguém faz casa pra mim
2022-10-08T03:09:53Z: PLAYER REMOVED [ 3942523189] ulxzin
2022-10-08T03:10:01Z: PLAYER REMOVED [ 1254431961] nicoly1068
2022-10-08T03:10:25Z: PLAYER ADDED   [  925640554] lalanandara
2022-10-08T03:10:28Z: PLAYER ADDED   [ 1509620139] Manukim156
2022-10-08T03:11:08Z: PLAYER REMOVED [  313849503] kamialves
2022-10-08T03:12:36Z: PLAYER ADDED   [ 3072231944] syelpotato
2022-10-08T03:12:45Z: PLAYER REMOVED [ 1622500507] grazinhaunigirl
2022-10-08T03:12:54Z: PLAYER ADDED   [ 2477537858] Yuna_Tomoki
2022-10-08T03:13:12Z: PLAYER REMOVED [ 3442833451] grazi_ela09
2022-10-08T03:13:24Z: PLAYER ADDED   [ 3845976888] Aninha_199333
2022-10-08T03:14:04Z: PLAYER REMOVED [ 3269379104] Drycah2006
2022-10-08T03:14:10Z: PLAYER ADDED   [ 1183514417] acanet10
2022-10-08T03:15:50Z: PLAYER REMOVED [ 1088177820] Eudes313
2022-10-08T03:16:48Z: PLAYER REMOVED [ 1449334020] TINHOSZPLAYE
2022-10-08T03:18:00Z: PLAYER ADDED   [ 1137329122] 3X_NNN
2022-10-08T03:18:21Z: PLAYER REMOVED [ 3925991390] Gu3rrr4
2022-10-08T03:19:29Z: PLAYER REMOVED [ 3845976888] Aninha_199333
2022-10-08T03:19:35Z: PLAYER REMOVED [ 1137329122] 3X_NNN
2022-10-08T03:23:40Z: PLAYER REMOVED [ 3944808837] nicollylacradora27
2022-10-08T03:25:09Z: PLAYER ADDED   [ 3826113813] Swlly0
2022-10-08T03:25:54Z: PLAYER REMOVED [ 3930233549] mimi_blox53
2022-10-08T03:26:00Z: PLAYER REMOVED [ 3826113813] Swlly0
2022-10-08T03:27:00Z: PLAYER REMOVED [ 3954283708] sslk_isaa
2022-10-08T03:27:03Z: PLAYER ADDED   [  462763592] BluEndzinha
2022-10-08T03:27:35Z: PLAYER ADDED   [ 3954283708] sslk_isaa
2022-10-08T03:27:55Z: PLAYER REMOVED [ 2843613532] adianny_gamergril
2022-10-08T03:27:55Z: PLAYER ADDED   [ 3599881836] drop_suun
2022-10-08T03:28:07Z: PLAYER REMOVED [ 2477537858] Yuna_Tomoki
2022-10-08T03:28:51Z: PLAYER REMOVED [ 3590247710] dilamnlosti
2022-10-08T03:29:55Z: PLAYER REMOVED [    1630228] VisualPlugin
