[    1630228] : [ 6132051504] Build to Survive the Zombies! - 738391d9-a2d7-43ed-9404-01d6b9309ecf
2022-10-30T05:34:30Z: CHAT STREAM SUCCESSFULLY STARTED
2022-10-30T05:34:30Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-10-30T05:34:30Z: PLAYER ADDED   [ 3246086693] Matonlie03
2022-10-30T05:34:30Z: PLAYER ADDED   [ 1579911944] Anderbebe03
2022-10-30T05:34:30Z: PLAYER ADDED   [ 3231262392] yuyuhiug
2022-10-30T05:34:30Z: PLAYER ADDED   [ 3888391094] JazlynGalaxyGamer
2022-10-30T05:34:30Z: PLAYER ADDED   [ 1536773559] kaylyn21411
2022-10-30T05:34:35Z: CHRCTER ADDED  [    1630228] VisualPlugin        
2022-10-30T05:34:37Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:34:48Z: CHRCTER ADDED  [ 1536773559] kaylyn21411         
2022-10-30T05:34:53Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:35:49Z: CHRCTER ADDED  [ 1536773559] kaylyn21411         
2022-10-30T05:36:06Z: CHRCTER ADDED  [ 1536773559] kaylyn21411         
2022-10-30T05:36:29Z: CHRCTER ADDED  [ 1536773559] kaylyn21411         
2022-10-30T05:36:58Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:37:55Z: CHRCTER ADDED  [ 1536773559] kaylyn21411         
2022-10-30T05:38:22Z: PLAYER REMOVED [ 3246086693] Matonlie03
2022-10-30T05:38:22Z: CHRCTER ADDED  [    1630228] VisualPlugin        
2022-10-30T05:38:28Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:38:36Z: PLAYER ADDED   [ 4009120412] KrampusSpookfest1999
2022-10-30T05:38:49Z: PLAYER ADDED   [ 1752912711] Belkys625
2022-10-30T05:39:00Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:39:30Z: PLAYER REMOVED [ 1536773559] kaylyn21411
2022-10-30T05:39:55Z: PLAYER REMOVED [ 1752912711] Belkys625
2022-10-30T05:40:14Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:41:17Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:42:00Z: CHRCTER ADDED  [ 4009120412] KrampusSpookfest1999
2022-10-30T05:42:03Z: CHRCTER ADDED  [    1630228] VisualPlugin        
2022-10-30T05:42:06Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:42:12Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:42:23Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:43:23Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:46:09Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:46:27Z: CHRCTER ADDED  [ 4009120412] KrampusSpookfest1999
2022-10-30T05:46:39Z: CHRCTER ADDED  [ 3231262392] yuyuhiug            
2022-10-30T05:46:40Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:46:42Z: PLAYER REMOVED [ 3231262392] yuyuhiug
2022-10-30T05:47:37Z: PLAYER REMOVED [ 1579911944] Anderbebe03
2022-10-30T05:48:42Z: PLAYER ADDED   [ 2578248474] Patitohdz02
2022-10-30T05:49:24Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T05:49:38Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:49:38Z: CHRCTER ADDED  [ 4009120412] KrampusSpookfest1999
2022-10-30T05:49:44Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T05:50:07Z: PLAYER ADDED   [ 3985630798] henrri327gs
2022-10-30T05:50:34Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T05:53:03Z: CHRCTER ADDED  [ 3985630798] henrri327gs         
2022-10-30T05:53:08Z: CHRCTER ADDED  [    1630228] VisualPlugin        
2022-10-30T05:53:15Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:53:29Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T05:53:56Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T05:54:11Z: PLAYER ADDED   [ 3615301419] ZingaroLolo
2022-10-30T05:54:44Z: PLAYER ADDED   [ 2293490597] LEX289978
2022-10-30T05:54:49Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T05:55:15Z: PLAYER ADDED   [ 3976332425] Idkwith_7362
2022-10-30T05:55:18Z: CHRCTER ADDED  [ 3976332425] Idkwith_7362        
2022-10-30T05:56:18Z: PLAYER REMOVED [ 2578248474] Patitohdz02
2022-10-30T05:56:25Z: CHRCTER ADDED  [ 3615301419] ZingaroLolo         
2022-10-30T05:56:43Z: CHRCTER ADDED  [    1630228] VisualPlugin        
2022-10-30T05:56:44Z: CHRCTER ADDED  [ 3615301419] ZingaroLolo         
2022-10-30T05:56:48Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T05:56:49Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:56:54Z: PLAYER ADDED   [ 2578248474] Patitohdz02
2022-10-30T05:56:58Z: CHRCTER ADDED  [ 3976332425] Idkwith_7362        
2022-10-30T05:57:02Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T05:57:12Z: CHRCTER ADDED  [ 4009120412] KrampusSpookfest1999
2022-10-30T05:57:15Z: CHRCTER ADDED  [ 3985630798] henrri327gs         
2022-10-30T05:58:28Z: PLAYER REMOVED [ 2293490597] LEX289978
2022-10-30T05:58:36Z: PLAYER ADDED   [ 3664788481] yyz2561
2022-10-30T05:59:05Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T05:59:11Z: CHRCTER ADDED  [ 3976332425] Idkwith_7362        
2022-10-30T05:59:18Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T05:59:28Z: CHRCTER ADDED  [ 3888391094] JazlynGalaxyGamer   
2022-10-30T05:59:30Z: PLAYER REMOVED [ 3888391094] JazlynGalaxyGamer
2022-10-30T05:59:37Z: PLAYER REMOVED [ 3976332425] Idkwith_7362
2022-10-30T05:59:38Z: CHRCTER ADDED  [ 3985630798] henrri327gs         
2022-10-30T05:59:39Z: CHRCTER ADDED  [ 3615301419] ZingaroLolo         
2022-10-30T05:59:48Z: PLAYER REMOVED [ 3985630798] henrri327gs
2022-10-30T05:59:52Z: CHRCTER ADDED  [ 3615301419] ZingaroLolo         
2022-10-30T06:00:17Z: PLAYER REMOVED [ 3615301419] ZingaroLolo
2022-10-30T06:00:20Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T06:00:36Z: PLAYER ADDED   [ 3976332425] Idkwith_7362
2022-10-30T06:03:02Z: CHRCTER ADDED  [ 3976332425] Idkwith_7362        
2022-10-30T06:03:02Z: CHRCTER ADDED  [ 4009120412] KrampusSpookfest1999
2022-10-30T06:03:12Z: PLAYER REMOVED [ 4009120412] KrampusSpookfest1999
2022-10-30T06:03:12Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T06:03:52Z: PLAYER ADDED   [ 3836021721] eyiwiw9
2022-10-30T06:06:35Z: CHRCTER ADDED  [ 2578248474] Patitohdz02         
2022-10-30T06:06:36Z: CHRCTER ADDED  [ 3976332425] Idkwith_7362        
2022-10-30T06:07:04Z: PLAYER ADDED   [ 3863638915] Ashleyyggj
2022-10-30T06:07:18Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T06:07:18Z: PLAYER ADDED   [ 1526855491] ImGull3
2022-10-30T06:07:46Z: CHRCTER ADDED  [ 1526855491] ImGull3             
2022-10-30T06:07:50Z: CHRCTER ADDED  [ 3836021721] eyiwiw9             
2022-10-30T06:08:10Z: PLAYER ADDED   [ 2293490597] LEX289978
2022-10-30T06:08:23Z: CHRCTER ADDED  [ 3836021721] eyiwiw9             
2022-10-30T06:08:53Z: CHRCTER ADDED  [ 3863638915] Ashleyyggj          
2022-10-30T06:09:04Z: PLAYER REMOVED [ 1526855491] ImGull3
2022-10-30T06:09:05Z: CHRCTER ADDED  [ 3836021721] eyiwiw9             
2022-10-30T06:10:02Z: PLAYER REMOVED [ 2578248474] Patitohdz02
2022-10-30T06:10:10Z: CHRCTER ADDED  [ 3836021721] eyiwiw9             
2022-10-30T06:10:21Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T06:10:31Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T06:10:34Z: CHRCTER ADDED  [ 3863638915] Ashleyyggj          
2022-10-30T06:10:49Z: CHRCTER ADDED  [ 3664788481] yyz2561             
2022-10-30T06:10:56Z: PLAYER ADDED   [ 2403991348] nuramsyar5
2022-10-30T06:11:16Z: CHRCTER ADDED  [ 3836021721] eyiwiw9             
2022-10-30T06:11:37Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T06:11:58Z: CHRCTER ADDED  [ 2403991348] nuramsyar5          
2022-10-30T06:12:02Z: PLAYER ADDED   [ 3354121570] JusBigBoy13
2022-10-30T06:12:14Z: CHRCTER ADDED  [ 2293490597] LEX289978           
2022-10-30T06:12:26Z: PLAYER REMOVED [ 2293490597] LEX289978
2022-10-30T06:12:26Z: CHRCTER ADDED  [ 3863638915] Ashleyyggj          
2022-10-30T06:12:42Z: PLAYER ADDED   [ 3682475006] SISTERS9489
2022-10-30T06:12:57Z: CHRCTER ADDED  [ 3354121570] JusBigBoy13         
