[    1630228] : [ 7370382714] Speed Run 28 - 83498950-0983-4a3f-bbe1-37984f0fc649
2022-10-26T07:20:56Z: CHAT STREAM SUCCESSFULLY STARTED
2022-10-26T07:20:56Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3990258480] Zbshahga1234
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3503969141] Cdcscse
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3705946175] allythegreat72027
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3152974483] alanstanleyjr87
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3402173145] the_baddieDelilah22
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3886289808] Novahlee_24
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3216351542] eiddaa
2022-10-26T07:20:56Z: PLAYER ADDED   [ 1506353073] Malikia06
2022-10-26T07:20:56Z: PLAYER ADDED   [ 3633477340] P0P_tarts10
2022-10-26T07:20:56Z: PLAYER ADDED   [ 1291315222] xHaileyisweirdx
2022-10-26T07:20:56Z: PLAYER ADDED   [ 1891996958] shordyalulbhaddie
2022-10-26T07:20:56Z: PLAYER ADDED   [ 2747955829] gummybear31366
2022-10-26T07:20:58Z: PLAYER REMOVED [ 3402173145] the_baddieDelilah22
2022-10-26T07:21:00Z: CHRCTER ADDED  [ 3503969141] Cdcscse             
2022-10-26T07:21:01Z: CHRCTER ADDED  [ 1891996958] shordyalulbhaddie   
2022-10-26T07:21:06Z: CHRCTER ADDED  [ 3152974483] alanstanleyjr87     
2022-10-26T07:21:07Z: CHRCTER ADDED  [ 1506353073] Malikia06           
2022-10-26T07:21:07Z: CHRCTER ADDED  [ 1291315222] xHaileyisweirdx     
2022-10-26T07:21:10Z: PLAYER ADDED   [ 1441862070] kittykittykitty1056
2022-10-26T07:21:16Z: CHRCTER ADDED  [ 3633477340] P0P_tarts10         
2022-10-26T07:21:16Z: CHRCTER ADDED  [ 1506353073] Malikia06           
2022-10-26T07:21:19Z: CHRCTER ADDED  [ 3705946175] allythegreat72027   
2022-10-26T07:21:20Z: CHRCTER ADDED  [ 3990258480] Zbshahga1234        
2022-10-26T07:21:21Z: CHRCTER ADDED  [ 3216351542] eiddaa              
2022-10-26T07:21:21Z: CHRCTER ADDED  [ 1441862070] kittykittykitty1056 
2022-10-26T07:21:23Z: CHRCTER ADDED  [ 3503969141] Cdcscse             
2022-10-26T07:21:28Z: PLAYER REMOVED [    1630228] VisualPlugin
