[    1630228] : [ 8044000698] Open Mic Night [VOICE CHAT 🔊] - 9e082785-c7ba-4c26-be22-001d30e733de
2022-08-07T07:20:14Z: CHAT STREAM SUCCESSFULLY STARTED
2022-08-07T07:20:14Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-08-07T07:20:14Z: PLAYER ADDED   [  429663599] FuZeSevahn
2022-08-07T07:20:14Z: PLAYER ADDED   [   25113177] gamer1040
2022-08-07T07:20:14Z: PLAYER ADDED   [  489651094] SilenceTenebris
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3712543636] worthy_poo
2022-08-07T07:20:14Z: PLAYER ADDED   [   34636336] chela123456
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2668094257] tojifushibae
2022-08-07T07:20:14Z: PLAYER ADDED   [ 1125191350] FrancoHazard
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3549951155] Coolguyhudson14
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2987600878] Tripple_DDDDDD
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3177450597] Kitty_43kat
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2239604344] eri_11eriana
2022-08-07T07:20:14Z: PLAYER ADDED   [   35875189] socrates777
2022-08-07T07:20:14Z: PLAYER ADDED   [   55530585] SomberObtainableBad
2022-08-07T07:20:14Z: PLAYER ADDED   [  434415437] Caldika
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2410451582] outcensxred
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2697240964] XLizzardGirlX
2022-08-07T07:20:14Z: PLAYER ADDED   [  685748830] destiny_tinypotato10
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3748625425] marosystertwin
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2812940851] baddie_fattie25
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3336823123] YoonYoon923
2022-08-07T07:20:14Z: PLAYER ADDED   [ 2790974776] Almaibarra1013
2022-08-07T07:20:14Z: PLAYER ADDED   [ 1966466282] At0mic_Err0r
2022-08-07T07:20:14Z: PLAYER ADDED   [  671039069] Worth2Less
2022-08-07T07:20:14Z: PLAYER ADDED   [ 3662839571] ledgerthestryker
2022-08-07T07:20:18Z: PLAYER ADDED   [ 1037527097] darlingnicky14
2022-08-07T07:20:20Z: PLAYER REMOVED [    1630228] VisualPlugin
