[    1630228] : [ 8915156741] 💰🤑Brookhaven RP Adopt Me Legendary Update - 76bdd6e6-5f7d-4d57-a735-ed1a083e5634
2022-10-25T06:51:53Z: CHAT STREAM SUCCESSFULLY STARTED
2022-10-25T06:51:53Z: PLAYER ADDED   [    1630228] VisualPlugin
2022-10-25T06:51:53Z: PLAYER ADDED   [ 3860459455] Few1234v
2022-10-25T06:51:53Z: PLAYER ADDED   [ 2571999487] Margarita201604
2022-10-25T06:51:53Z: PLAYER ADDED   [ 3530698002] BillyTrains123
2022-10-25T06:51:53Z: PLAYER ADDED   [ 3984065830] Oki20221975
2022-10-25T06:51:59Z: CHRCTER ADDED  [ 3984065830] Oki20221975         
2022-10-25T06:52:05Z: CHRCTER ADDED  [ 2571999487] Margarita201604     
2022-10-25T06:52:18Z: CHRCTER ADDED  [ 3984065830] Oki20221975         
2022-10-25T06:52:27Z: CHRCTER ADDED  [ 2571999487] Margarita201604     
2022-10-25T06:52:28Z: PLAYER REMOVED [ 3984065830] Oki20221975
2022-10-25T06:52:47Z: CHRCTER ADDED  [ 2571999487] Margarita201604     
2022-10-25T06:53:06Z: CHRCTER ADDED  [ 2571999487] Margarita201604     
2022-10-25T06:53:25Z: CHRCTER ADDED  [ 2571999487] Margarita201604     
2022-10-25T06:53:29Z: PLAYER REMOVED [ 2571999487] Margarita201604
2022-10-25T06:53:39Z: PLAYER ADDED   [ 3220644519] UpDogsX
2022-10-25T06:53:54Z: CHRCTER ADDED  [ 3220644519] UpDogsX             
2022-10-25T06:54:10Z: CHRCTER ADDED  [ 3220644519] UpDogsX             
2022-10-25T06:54:28Z: CHRCTER ADDED  [ 3220644519] UpDogsX             
2022-10-25T06:54:46Z: CHRCTER ADDED  [ 3220644519] UpDogsX             
2022-10-25T06:54:55Z: CHRCTER ADDED  [ 3860459455] Few1234v            
2022-10-25T06:55:00Z: CHRCTER ADDED  [ 3220644519] UpDogsX             
2022-10-25T06:55:01Z: PLAYER REMOVED [ 3220644519] UpDogsX
2022-10-25T06:56:06Z: CHRCTER ADDED  [ 3860459455] Few1234v            
2022-10-25T06:56:33Z: CHRCTER ADDED  [ 3860459455] Few1234v            
2022-10-25T06:56:54Z: CHRCTER ADDED  [ 3860459455] Few1234v            
2022-10-25T06:57:15Z: CHRCTER ADDED  [ 3860459455] Few1234v            
2022-10-25T06:57:34Z: CHRCTER ADDED  [ 3860459455] Few1234v            
